NAME : dataset_10_01
NODES : 10
TYPE : SYMMETRIC
NODE1 NODE2 TIME
0 1 44.99999
0 2 91.66666
0 3 27.33333
0 4 99.99999
0 5 63.33333
0 6 20.99999
0 7 82.66666
0 8 54.99999
0 9 10.99999
1 2 44.99999
1 3 91.66666
1 4 27.33333
1 5 63.33333
1 6 20.99999
1 7 82.66666
1 8 54.99999
1 9 10.99999
2 3 44.99999
2 4 91.66666
2 5 27.33333
2 6 63.33333
2 7 20.99999
2 8 82.66666
2 9 54.99999
3 4 44.99999
3 5 91.66666
3 6 27.33333
3 7 63.33333
3 8 20.99999
3 9 82.66666
4 5 44.99999
4 6 91.66666
4 7 27.33333
4 8 63.33333
4 9 20.99999
5 6 44.99999
5 7 91.66666
5 8 27.33333
5 9 63.33333
6 7 44.99999
6 8 91.66666
6 9 27.33333
7 8 44.99999
7 9 91.66666
8 9 44.99999
