NAME: dataset_25_04
NODES: 25
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 85.7805
0 2 73.1604
0 3 99.2673
0 4 90.7379
0 5 81.6789
0 6 36.5256
0 7 82.4039
0 8 79.1949
0 9 14.9081
0 10 83.0971
0 11 55.1184
0 12 63.6754
0 13 20.8946
0 14 86.0087
0 15 44.3599
0 16 10.4613
0 17 74.3325
0 18 76.2365
0 19 88.1133
0 20 40.9534
0 21 4.0403
0 22 86.289
0 23 82.9709
0 24 69.747
1 2 87.5983
1 3 6.4544
1 4 52.1879
1 5 89.5262
1 6 62.9722
1 7 11.3475
1 8 20.5425
1 9 98.3804
1 10 64.5651
1 11 62.5435
1 12 56.5009
1 13 81.4035
1 14 74.6005
1 15 81.0454
1 16 39.0924
1 17 87.0213
1 18 96.4963
1 19 95.2108
1 20 30.2708
1 21 44.4263
1 22 99.3964
1 23 1.8731
1 24 61.6024
2 3 43.1733
2 4 66.0788
2 5 76.2213
2 6 46.8001
2 7 35.6165
2 8 37.9967
2 9 32.8158
2 10 67.6948
2 11 2.1963
2 12 25.7923
2 13 54.4923
2 14 92.2699
2 15 49.6286
2 16 35.6196
2 17 31.4914
2 18 73.7992
2 19 46.5198
2 20 51.8424
2 21 94.3391
2 22 97.589
2 23 53.6571
2 24 73.2979
3 4 31.9219
3 5 72.9829
3 6 95.935
3 7 21.0951
3 8 36.0591
3 9 42.0592
3 10 44.171
3 11 24.6987
3 12 39.0728
3 13 36.9037
3 14 39.2845
3 15 43.3872
3 16 33.8999
3 17 76.6546
3 18 80.0262
3 19 35.2873
3 20 11.6438
3 21 64.0568
3 22 7.4058
3 23 33.8833
3 24 66.5477
4 5 27.2339
4 6 80.7451
4 7 95.5355
4 8 27.7054
4 9 42.0245
4 10 82.9705
4 11 16.46
4 12 44.0355
4 13 96.3787
4 14 16.0133
4 15 78.3807
4 16 93.5199
4 17 87.2006
4 18 98.1996
4 19 61.0599
4 20 87.2928
4 21 33.8703
4 22 59.0798
4 23 41.5187
4 24 81.1678
5 6 94.1242
5 7 46.4343
5 8 79.2356
5 9 94.9558
5 10 3.295
5 11 46.6572
5 12 66.368
5 13 29.9255
5 14 59.0017
5 15 55.2185
5 16 44.2262
5 17 57.3336
5 18 77.8347
5 19 74.9804
5 20 86.2674
5 21 54.3183
5 22 12.0208
5 23 34.6058
5 24 16.8052
6 7 45.8737
6 8 19.4016
6 9 8.924
6 10 41.2108
6 11 9.9156
6 12 28.9629
6 13 85.4651
6 14 9.3538
6 15 66.896
6 16 63.4303
6 17 76.8026
6 18 46.8313
6 19 96.9438
6 20 58.64
6 21 95.6967
6 22 2.8003
6 23 35.2213
6 24 15.5025
7 8 90.8777
7 9 97.9104
7 10 18.9515
7 11 81.2624
7 12 40.1863
7 13 55.2835
7 14 92.8267
7 15 35.754
7 16 28.8713
7 17 11.1282
7 18 71.7813
7 19 28.9036
7 20 80.6495
7 21 2.2823
7 22 34.8313
7 23 34.5454
7 24 81.6372
8 9 12.7977
8 10 38.1184
8 11 73.6609
8 12 27.3373
8 13 6.5277
8 14 10.767
8 15 10.9453
8 16 49.111
8 17 55.5686
8 18 55.9196
8 19 39.7192
8 20 22.2099
8 21 80.8261
8 22 13.2526
8 23 26.4831
8 24 45.0429
9 10 37.7278
9 11 65.8827
9 12 95.1909
9 13 30.7383
9 14 57.2512
9 15 29.3235
9 16 67.7355
9 17 35.9426
9 18 44.5224
9 19 70.9107
9 20 26.4177
9 21 18.9125
9 22 82.6848
9 23 13.8553
9 24 1.5568
10 11 53.2901
10 12 73.1249
10 13 51.1675
10 14 3.3259
10 15 29.3019
10 16 31.726
10 17 67.0703
10 18 32.9336
10 19 96.5569
10 20 55.3128
10 21 63.8434
10 22 51.9768
10 23 10.8713
10 24 50.0647
11 12 24.5366
11 13 27.2483
11 14 87.1131
11 15 17.0183
11 16 65.569
11 17 93.4074
11 18 37.2794
11 19 28.8909
11 20 40.3154
11 21 24.9543
11 22 24.9867
11 23 31.5888
11 24 95.5731
12 13 27.5488
12 14 31.6758
12 15 84.3558
12 16 35.9651
12 17 8.5786
12 18 19.9031
12 19 78.3862
12 20 38.6685
12 21 58.4463
12 22 33.6555
12 23 32.8166
12 24 39.5651
13 14 19.3469
13 15 63.7049
13 16 43.4819
13 17 56.8332
13 18 88.6776
13 19 96.2192
13 20 78.5357
13 21 59.1257
13 22 85.2556
13 23 85.8943
13 24 98.498
14 15 34.1582
14 16 81.9975
14 17 45.7965
14 18 85.4339
14 19 59.1975
14 20 14.1785
14 21 8.2157
14 22 19.14
14 23 10.4276
14 24 81.8571
15 16 35.5625
15 17 6.171
15 18 95.7233
15 19 56.996
15 20 85.2509
15 21 76.074
15 22 67.7159
15 23 1.4757
15 24 49.2327
16 17 4.4806
16 18 24.8803
16 19 80.9294
16 20 68.1215
16 21 27.3476
16 22 32.1668
16 23 78.9736
16 24 95.551
17 18 50.2598
17 19 37.0237
17 20 43.0352
17 21 94.3461
17 22 85.035
17 23 15.1824
17 24 27.2016
18 19 90.2286
18 20 59.8219
18 21 1.3249
18 22 51.3513
18 23 64.7974
18 24 44.2673
19 20 66.5857
19 21 43.8369
19 22 46.7995
19 23 7.92
19 24 49.0897
20 21 89.0718
20 22 31.5613
20 23 3.6733
20 24 42.7695
21 22 79.93
21 23 75.2325
21 24 56.218
22 23 29.6216
22 24 46.8582
23 24 76.0955
