NAME: dataset_100_02
NODES: 100
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 64.6501
0 2 51.6951
0 3 140.5327
0 4 5.9869
0 5 60.9908
0 6 105.0524
0 7 229.7145
0 8 41.6304
0 9 53.6999
0 10 104.3668
0 11 250.2969
0 12 187.2522
0 13 225.7607
0 14 266.9229
0 15 174.5814
0 16 220.5333
0 17 295.3373
0 18 111.3455
0 19 3.8217
0 20 86.5897
0 21 242.8578
0 22 279.1616
0 23 105.1553
0 24 227.7965
0 25 32.3539
0 26 296.0382
0 27 4.7194
0 28 260.5931
0 29 128.3131
0 30 276.2214
0 31 221.4994
0 32 290.7683
0 33 274.6142
0 34 222.0557
0 35 16.7837
0 36 191.6786
0 37 279.3466
0 38 51.8076
0 39 12.6023
0 40 229.5485
0 41 15.0748
0 42 237.2313
0 43 255.079
0 44 88.1093
0 45 14.9686
0 46 274.0665
0 47 1.5642
0 48 163.9502
0 49 241.2321
0 50 267.2327
0 51 67.2665
0 52 232.8613
0 53 247.3334
0 54 65.0686
0 55 68.5144
0 56 91.247
0 57 77.1892
0 58 189.8708
0 59 118.2411
0 60 83.0383
0 61 273.0395
0 62 294.0726
0 63 286.9213
0 64 47.831
0 65 24.0358
0 66 144.9012
0 67 278.86
0 68 31.3848
0 69 92.5901
0 70 90.3836
0 71 271.3335
0 72 192.3419
0 73 17.2528
0 74 144.5611
0 75 57.0846
0 76 10.6834
0 77 256.4584
0 78 16.0111
0 79 127.1947
0 80 172.0779
0 81 103.8818
0 82 218.2119
0 83 180.2176
0 84 90.9314
0 85 42.7478
0 86 225.537
0 87 91.0323
0 88 183.0306
0 89 121.246
0 90 47.6656
0 91 96.9656
0 92 69.737
0 93 133.59
0 94 169.7839
0 95 135.5705
0 96 155.4106
0 97 116.3396
0 98 43.6937
0 99 8.2655
1 2 237.6382
1 3 292.6339
1 4 201.6112
1 5 115.1831
1 6 13.9218
1 7 224.6907
1 8 72.6886
1 9 42.1181
1 10 20.2139
1 11 114.9204
1 12 264.8638
1 13 216.569
1 14 144.924
1 15 271.2211
1 16 269.9661
1 17 158.0248
1 18 229.9836
1 19 204.9484
1 20 5.811
1 21 78.8429
1 22 285.9893
1 23 66.6662
1 24 129.9949
1 25 212.2169
1 26 141.4848
1 27 125.4481
1 28 216.082
1 29 47.4283
1 30 55.1254
1 31 153.1976
1 32 164.9941
1 33 18.14
1 34 211.2811
1 35 245.7784
1 36 143.588
1 37 71.9483
1 38 157.6627
1 39 4.8495
1 40 176.577
1 41 28.757
1 42 145.4633
1 43 132.3369
1 44 202.7709
1 45 15.8389
1 46 50.1095
1 47 80.5808
1 48 226.7162
1 49 45.0042
1 50 149.6182
1 51 114.2991
1 52 230.8404
1 53 243.077
1 54 40.786
1 55 148.0021
1 56 96.7473
1 57 240.2196
1 58 85.7123
1 59 127.2873
1 60 35.5095
1 61 16.5265
1 62 197.1616
1 63 58.9142
1 64 45.0853
1 65 155.6469
1 66 213.9016
1 67 46.3069
1 68 74.772
1 69 146.7407
1 70 94.0934
1 71 127.4522
1 72 284.8857
1 73 170.4421
1 74 155.1946
1 75 193.316
1 76 188.154
1 77 21.9469
1 78 120.8068
1 79 68.9575
1 80 192.7503
1 81 218.2682
1 82 52.9858
1 83 180.7962
1 84 195.9552
1 85 192.3892
1 86 50.6327
1 87 18.587
1 88 88.6681
1 89 202.315
1 90 66.1014
1 91 125.9002
1 92 17.3219
1 93 190.5702
1 94 55.3718
1 95 262.7673
1 96 291.1284
1 97 133.6459
1 98 209.4343
1 99 277.7076
2 3 114.236
2 4 235.9049
2 5 132.246
2 6 114.3634
2 7 278.7311
2 8 33.3506
2 9 74.2755
2 10 158.2786
2 11 54.5633
2 12 248.9854
2 13 4.5692
2 14 204.4178
2 15 60.393
2 16 78.6916
2 17 296.3259
2 18 289.157
2 19 105.7072
2 20 110.5427
2 21 147.2349
2 22 96.6947
2 23 270.2599
2 24 250.7686
2 25 47.7252
2 26 46.0125
2 27 120.266
2 28 8.7825
2 29 121.8168
2 30 284.8703
2 31 277.3255
2 32 279.8832
2 33 224.8014
2 34 147.0651
2 35 73.9069
2 36 249.2824
2 37 171.1341
2 38 22.0935
2 39 146.0809
2 40 235.4325
2 41 125.7513
2 42 162.7608
2 43 80.9835
2 44 18.6545
2 45 20.5177
2 46 91.5591
2 47 113.8586
2 48 136.5012
2 49 53.6062
2 50 235.3338
2 51 229.1377
2 52 124.5302
2 53 107.5885
2 54 24.5805
2 55 144.6927
2 56 98.8465
2 57 28.1421
2 58 134.2451
2 59 163.8226
2 60 119.5754
2 61 185.3428
2 62 215.1484
2 63 44.046
2 64 162.3828
2 65 151.8899
2 66 207.1717
2 67 197.5481
2 68 258.5332
2 69 244.7951
2 70 107.5085
2 71 125.2505
2 72 39.142
2 73 134.6993
2 74 81.9032
2 75 118.1406
2 76 54.5849
2 77 47.1447
2 78 227.5397
2 79 87.7534
2 80 98.0772
2 81 98.9838
2 82 10.9847
2 83 206.8973
2 84 160.6917
2 85 53.087
2 86 99.5281
2 87 133.0938
2 88 1.7313
2 89 286.4017
2 90 249.4174
2 91 196.6028
2 92 88.9835
2 93 141.9345
2 94 69.271
2 95 67.1666
2 96 232.6531
2 97 6.4827
2 98 229.1826
2 99 165.2358
3 4 60.6606
3 5 74.3512
3 6 145.6749
3 7 198.8364
3 8 269.0442
3 9 147.8383
3 10 7.674
3 11 110.8193
3 12 23.0221
3 13 232.599
3 14 283.7738
3 15 213.0698
3 16 216.0838
3 17 137.7308
3 18 271.1992
3 19 116.6831
3 20 231.1906
3 21 44.6734
3 22 133.7716
3 23 27.1707
3 24 207.9706
3 25 16.723
3 26 5.7382
3 27 184.0975
3 28 41.4806
3 29 14.4768
3 30 148.1152
3 31 248.3629
3 32 40.4736
3 33 169.6001
3 34 209.8938
3 35 163.0185
3 36 193.5568
3 37 28.0783
3 38 281.1714
3 39 273.4245
3 40 183.3981
3 41 55.6759
3 42 245.2641
3 43 53.03
3 44 123.5802
3 45 229.5994
3 46 283.7535
3 47 176.914
3 48 221.0587
3 49 218.2234
3 50 232.411
3 51 121.2757
3 52 65.7139
3 53 235.6515
3 54 213.7426
3 55 174.7635
3 56 58.0889
3 57 263.4706
3 58 125.8389
3 59 155.9509
3 60 63.4484
3 61 172.6407
3 62 284.3047
3 63 293.8294
3 64 239.4184
3 65 283.4368
3 66 279.8055
3 67 106.8495
3 68 151.6512
3 69 229.9041
3 70 203.3568
3 71 8.8731
3 72 64.8237
3 73 88.5454
3 74 219.9695
3 75 188.4313
3 76 28.1105
3 77 191.6811
3 78 71.7466
3 79 246.488
3 80 173.8344
3 81 94.5441
3 82 113.5691
3 83 208.9943
3 84 245.4928
3 85 247.3144
3 86 100.589
3 87 8.2468
3 88 261.6601
3 89 246.077
3 90 283.5418
3 91 9.091
3 92 136.9739
3 93 214.2286
3 94 168.4102
3 95 244.1005
3 96 204.2543
3 97 199.9114
3 98 101.7854
3 99 124.4188
4 5 171.2384
4 6 267.4536
4 7 146.9487
4 8 219.0319
4 9 205.882
4 10 24.0371
4 11 158.2513
4 12 16.5507
4 13 219.237
4 14 74.0581
4 15 164.072
4 16 169.2728
4 17 74.1502
4 18 167.0516
4 19 211.1352
4 20 106.3278
4 21 34.432
4 22 188.5793
4 23 154.4688
4 24 110.8359
4 25 47.8639
4 26 239.5127
4 27 173.754
4 28 80.2487
4 29 17.1857
4 30 61.2969
4 31 122.6924
4 32 54.4922
4 33 174.2093
4 34 285.9942
4 35 271.4337
4 36 99.089
4 37 213.3889
4 38 294.8119
4 39 117.7574
4 40 101.5653
4 41 173.1641
4 42 159.4929
4 43 60.9856
4 44 6.8233
4 45 232.0381
4 46 289.9279
4 47 3.7627
4 48 30.7154
4 49 41.5115
4 50 250.8507
4 51 222.3477
4 52 262.5219
4 53 74.3505
4 54 105.6434
4 55 189.929
4 56 158.1227
4 57 67.6806
4 58 86.5078
4 59 173.1214
4 60 236.0739
4 61 44.4417
4 62 220.9706
4 63 253.6158
4 64 160.839
4 65 142.8875
4 66 253.3373
4 67 217.7011
4 68 100.9684
4 69 19.739
4 70 247.3891
4 71 137.2912
4 72 100.5327
4 73 104.1008
4 74 287.0626
4 75 132.7129
4 76 29.9868
4 77 13.2575
4 78 159.7373
4 79 207.412
4 80 260.2767
4 81 79.6794
4 82 65.2097
4 83 281.7725
4 84 175.3685
4 85 299.0059
4 86 19.7137
4 87 54.3913
4 88 78.7855
4 89 132.5606
4 90 188.7877
4 91 203.0321
4 92 146.9791
4 93 189.1503
4 94 169.7514
4 95 79.615
4 96 262.8794
4 97 265.3919
4 98 292.1163
4 99 175.24
5 6 279.5616
5 7 175.4378
5 8 249.459
5 9 42.2363
5 10 130.3665
5 11 289.8994
5 12 31.1235
5 13 146.1425
5 14 153.5363
5 15 245.3785
5 16 269.0153
5 17 211.223
5 18 295.0535
5 19 55.9843
5 20 63.081
5 21 159.8112
5 22 157.3946
5 23 41.6984
5 24 52.937
5 25 280.5119
5 26 11.4838
5 27 63.1515
5 28 154.7415
5 29 82.2378
5 30 23.0594
5 31 93.3755
5 32 59.6316
5 33 216.0464
5 34 4.8676
5 35 202.0913
5 36 167.7422
5 37 219.8582
5 38 41.5802
5 39 33.8344
5 40 109.1431
5 41 86.2699
5 42 52.4219
5 43 170.0571
5 44 7.9598
5 45 135.2645
5 46 53.1674
5 47 187.8878
5 48 171.1053
5 49 74.9887
5 50 113.2413
5 51 252.733
5 52 102.9792
5 53 207.3924
5 54 183.929
5 55 217.8322
5 56 134.9619
5 57 170.5201
5 58 282.3354
5 59 218.2791
5 60 190.994
5 61 182.9452
5 62 109.102
5 63 151.4974
5 64 73.01
5 65 98.0352
5 66 38.5502
5 67 295.3125
5 68 104.3841
5 69 81.968
5 70 104.4421
5 71 162.3818
5 72 208.0889
5 73 237.5759
5 74 147.2254
5 75 116.133
5 76 114.9841
5 77 127.4825
5 78 63.3485
5 79 288.441
5 80 23.9864
5 81 90.1386
5 82 175.9468
5 83 121.3583
5 84 186.1708
5 85 245.9843
5 86 271.4426
5 87 169.0313
5 88 288.26
5 89 224.3608
5 90 26.2133
5 91 274.3637
5 92 104.8278
5 93 63.3731
5 94 94.9187
5 95 210.5057
5 96 190.555
5 97 135.1717
5 98 133.4697
5 99 177.2798
6 7 145.5561
6 8 194.3021
6 9 283.7477
6 10 297.3799
6 11 66.1573
6 12 298.7127
6 13 76.4281
6 14 72.8772
6 15 228.8344
6 16 52.3119
6 17 259.8986
6 18 45.5663
6 19 44.6265
6 20 68.7041
6 21 32.4838
6 22 152.694
6 23 107.238
6 24 131.9403
6 25 66.2049
6 26 22.4919
6 27 165.9117
6 28 251.4797
6 29 47.027
6 30 233.4877
6 31 88.4022
6 32 74.8621
6 33 20.229
6 34 78.5932
6 35 278.9097
6 36 121.0792
6 37 23.6273
6 38 47.4612
6 39 253.9366
6 40 258.2484
6 41 250.0351
6 42 294.6058
6 43 190.5649
6 44 274.5969
6 45 196.5153
6 46 158.6419
6 47 57.5091
6 48 239.9937
6 49 295.1245
6 50 165.4922
6 51 162.236
6 52 286.7361
6 53 196.8449
6 54 209.8776
6 55 130.9236
6 56 62.7144
6 57 44.0407
6 58 27.1432
6 59 103.5285
6 60 43.6448
6 61 237.0448
6 62 77.6445
6 63 298.9298
6 64 96.8117
6 65 196.0547
6 66 134.3673
6 67 63.2528
6 68 89.9887
6 69 286.9185
6 70 219.4466
6 71 104.0833
6 72 285.684
6 73 79.116
6 74 260.8811
6 75 172.7181
6 76 256.7323
6 77 217.7603
6 78 5.9471
6 79 182.8716
6 80 263.9879
6 81 92.1205
6 82 189.3077
6 83 81.913
6 84 287.1687
6 85 114.2213
6 86 273.5805
6 87 33.6574
6 88 59.6469
6 89 100.6673
6 90 201.6535
6 91 109.7456
6 92 112.0275
6 93 130.9204
6 94 24.0776
6 95 234.6746
6 96 223.7264
6 97 105.7855
6 98 41.1373
6 99 120.6433
7 8 44.8299
7 9 193.7609
7 10 82.6225
7 11 269.1033
7 12 259.4221
7 13 70.1268
7 14 20.3529
7 15 123.2857
7 16 103.1966
7 17 145.398
7 18 179.144
7 19 282.4697
7 20 49.0486
7 21 226.785
7 22 1.0482
7 23 277.1441
7 24 41.0248
7 25 64.2291
7 26 94.3399
7 27 204.0242
7 28 20.1349
7 29 44.5357
7 30 78.6023
7 31 49.3316
7 32 248.7071
7 33 229.3292
7 34 44.3391
7 35 186.2603
7 36 56.6973
7 37 81.0157
7 38 192.3409
7 39 167.6641
7 40 159.7531
7 41 221.6669
7 42 256.2991
7 43 78.0173
7 44 37.1454
7 45 234.0821
7 46 63.3018
7 47 260.3497
7 48 26.6496
7 49 7.9991
7 50 220.0218
7 51 51.8267
7 52 181.9347
7 53 55.3118
7 54 255.1977
7 55 260.2934
7 56 217.9677
7 57 210.273
7 58 297.796
7 59 14.1259
7 60 177.9826
7 61 287.8599
7 62 213.9582
7 63 105.4714
7 64 197.8678
7 65 206.5489
7 66 170.7602
7 67 169.4072
7 68 23.5269
7 69 128.2377
7 70 225.0366
7 71 224.2673
7 72 254.4455
7 73 6.2555
7 74 299.1089
7 75 295.5664
7 76 31.358
7 77 235.8672
7 78 208.8788
7 79 212.8316
7 80 9.1576
7 81 22.1603
7 82 172.9619
7 83 195.4048
7 84 237.3306
7 85 213.3673
7 86 134.9203
7 87 16.5187
7 88 273.6089
7 89 8.4817
7 90 131.9396
7 91 258.5253
7 92 242.1059
7 93 103.9135
7 94 276.3671
7 95 277.8667
7 96 209.851
7 97 65.9517
7 98 111.9529
7 99 129.4038
8 9 142.6851
8 10 242.9748
8 11 62.8823
8 12 116.7259
8 13 98.5383
8 14 72.5506
8 15 139.7102
8 16 44.9981
8 17 103.8187
8 18 208.2168
8 19 241.8854
8 20 79.2464
8 21 61.6288
8 22 155.016
8 23 236.4282
8 24 165.9521
8 25 221.5571
8 26 120.4437
8 27 275.205
8 28 97.0741
8 29 45.9422
8 30 26.5379
8 31 158.7629
8 32 132.3272
8 33 283.6726
8 34 178.4191
8 35 124.8071
8 36 286.6638
8 37 288.8719
8 38 95.6826
8 39 87.6418
8 40 145.8785
8 41 211.3111
8 42 105.7108
8 43 54.868
8 44 178.194
8 45 238.6144
8 46 253.8397
8 47 165.0487
8 48 270.4796
8 49 12.1622
8 50 245.7762
8 51 262.2866
8 52 158.0694
8 53 254.7366
8 54 122.2773
8 55 133.4492
8 56 101.3812
8 57 236.0152
8 58 239.0789
8 59 46.1534
8 60 74.6484
8 61 65.1721
8 62 26.6264
8 63 295.8609
8 64 240.5964
8 65 196.3212
8 66 76.9888
8 67 90.5452
8 68 95.4402
8 69 148.7059
8 70 179.3752
8 71 52.2556
8 72 101.9927
8 73 230.5918
8 74 78.7969
8 75 75.3137
8 76 181.4768
8 77 207.0755
8 78 145.0518
8 79 294.6203
8 80 210.2641
8 81 129.5572
8 82 141.1721
8 83 12.1078
8 84 212.402
8 85 144.0429
8 86 92.341
8 87 257.0631
8 88 211.0008
8 89 118.3601
8 90 127.26
8 91 250.564
8 92 106.8029
8 93 298.8902
8 94 168.5269
8 95 137.8824
8 96 4.3102
8 97 195.8159
8 98 211.5325
8 99 31.1117
9 10 193.0499
9 11 134.2492
9 12 101.1136
9 13 164.2931
9 14 260.7628
9 15 55.2683
9 16 16.7777
9 17 156.9017
9 18 63.1891
9 19 111.1359
9 20 127.1375
9 21 7.1753
9 22 73.1744
9 23 89.9765
9 24 147.448
9 25 42.7197
9 26 264.8045
9 27 177.3182
9 28 220.4388
9 29 129.4325
9 30 22.8043
9 31 298.3946
9 32 20.9988
9 33 291.5523
9 34 238.6595
9 35 218.6681
9 36 269.4597
9 37 3.6362
9 38 66.2609
9 39 184.6189
9 40 27.8792
9 41 107.497
9 42 245.7349
9 43 112.794
9 44 223.0157
9 45 236.1209
9 46 148.5485
9 47 16.7785
9 48 235.8474
9 49 5.6734
9 50 175.5836
9 51 131.8199
9 52 160.5739
9 53 4.9222
9 54 92.9691
9 55 62.5689
9 56 233.1055
9 57 95.226
9 58 233.7014
9 59 141.5075
9 60 93.4538
9 61 259.8979
9 62 44.7758
9 63 107.8817
9 64 25.7688
9 65 115.4551
9 66 33.0617
9 67 194.1836
9 68 41.0466
9 69 196.3601
9 70 225.3613
9 71 98.5518
9 72 55.714
9 73 160.3013
9 74 20.3292
9 75 126.0407
9 76 178.6471
9 77 83.2905
9 78 22.5403
9 79 116.3736
9 80 60.8314
9 81 178.2914
9 82 284.9144
9 83 161.2668
9 84 130.9528
9 85 179.8768
9 86 39.9124
9 87 55.6096
9 88 19.6511
9 89 262.288
9 90 65.9939
9 91 15.8801
9 92 181.1858
9 93 254.3142
9 94 91.0593
9 95 81.3437
9 96 40.7053
9 97 191.5661
9 98 86.3743
9 99 63.7689
10 11 293.9837
10 12 108.4768
10 13 45.8433
10 14 263.4611
10 15 204.3541
10 16 95.2851
10 17 4.9412
10 18 282.8116
10 19 60.3011
10 20 203.1069
10 21 218.7542
10 22 174.2194
10 23 15.9475
10 24 203.2288
10 25 106.8153
10 26 174.0593
10 27 25.3129
10 28 185.0131
10 29 195.2837
10 30 57.2337
10 31 134.4231
10 32 102.8522
10 33 100.049
10 34 181.0651
10 35 255.4201
10 36 17.2889
10 37 104.4142
10 38 18.1031
10 39 206.4486
10 40 247.0367
10 41 146.7324
10 42 233.8405
10 43 163.9282
10 44 53.2543
10 45 91.7206
10 46 256.4981
10 47 178.3798
10 48 245.4999
10 49 257.4482
10 50 280.6901
10 51 18.6141
10 52 28.8846
10 53 148.4329
10 54 33.1554
10 55 161.9262
10 56 97.2191
10 57 46.7776
10 58 278.3494
10 59 151.8843
10 60 285.4416
10 61 186.1232
10 62 235.3732
10 63 241.8214
10 64 250.166
10 65 207.2938
10 66 241.0082
10 67 239.8872
10 68 109.7142
10 69 262.6608
10 70 94.7863
10 71 202.5257
10 72 60.2026
10 73 34.1853
10 74 285.9129
10 75 20.9714
10 76 123.9004
10 77 200.5434
10 78 95.6851
10 79 8.5964
