NAME: dataset_50_02
NODES: 50
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 174.119
0 2 187.5984
0 3 65.8684
0 4 20.7232
0 5 72.4906
0 6 20.2915
0 7 23.7575
0 8 146.192
0 9 102.4194
0 10 47.0828
0 11 104.4008
0 12 102.4221
0 13 60.0725
0 14 150.5374
0 15 90.5957
0 16 47.3809
0 17 166.6836
0 18 152.136
0 19 155.2833
0 20 197.2948
0 21 164.1819
0 22 83.2644
0 23 30.3796
0 24 107.5815
0 25 72.4675
0 26 30.0667
0 27 74.8964
0 28 105.9158
0 29 175.6179
0 30 45.5291
0 31 126.081
0 32 44.1674
0 33 174.6274
0 34 60.105
0 35 32.0849
0 36 164.688
0 37 119.0208
0 38 4.4838
0 39 179.967
0 40 70.5019
0 41 96.1373
0 42 49.8613
0 43 11.0973
0 44 81.7079
0 45 56.2427
0 46 198.8372
0 47 100.5993
0 48 112.8501
0 49 150.5713
1 2 146.9288
1 3 8.0002
1 4 181.1013
1 5 174.4905
1 6 169.4405
1 7 146.1197
1 8 34.5316
1 9 134.0199
1 10 182.5259
1 11 126.0732
1 12 190.0282
1 13 48.5762
1 14 183.0937
1 15 58.669
1 16 109.7586
1 17 197.8169
1 18 109.2042
1 19 5.7873
1 20 177.9708
1 21 158.0071
1 22 49.4555
1 23 179.9096
1 24 53.9111
1 25 187.6477
1 26 125.3376
1 27 100.6088
1 28 109.9667
1 29 123.802
1 30 182.8487
1 31 188.187
1 32 157.0684
1 33 119.1337
1 34 134.7699
1 35 35.8439
1 36 135.934
1 37 104.182
1 38 27.7503
1 39 173.52
1 40 30.2349
1 41 19.9907
1 42 169.4239
1 43 138.6831
1 44 19.741
1 45 198.217
1 46 184.1014
1 47 82.0427
1 48 188.8849
1 49 97.5382
2 3 109.5587
2 4 75.395
2 5 171.7053
2 6 62.5316
2 7 32.5089
2 8 160.8796
2 9 136.003
2 10 75.664
2 11 171.4234
2 12 120.9814
2 13 169.5325
2 14 109.9136
2 15 89.8977
2 16 42.3803
2 17 98.7802
2 18 4.0937
2 19 100.163
2 20 191.0702
2 21 99.1985
2 22 4.378
2 23 133.131
2 24 11.4099
2 25 8.1696
2 26 122.2157
2 27 78.7874
2 28 43.1674
2 29 130.025
2 30 78.6833
2 31 158.5598
2 32 44.6595
2 33 14.8333
2 34 76.3635
2 35 104.1901
2 36 190.7243
2 37 169.0738
2 38 47.3142
2 39 125.7094
2 40 176.0335
2 41 101.54
2 42 199.1216
2 43 165.8039
2 44 99.2023
2 45 58.8056
2 46 19.8688
2 47 142.0313
2 48 60.6849
2 49 42.7262
3 4 179.0488
3 5 154.5862
3 6 191.1477
3 7 79.7211
3 8 78.5247
3 9 158.7695
3 10 31.4112
3 11 26.6587
3 12 163.6813
3 13 25.3602
3 14 30.8517
3 15 26.5196
3 16 186.9993
3 17 118.9227
3 18 102.7167
3 19 124.7603
3 20 17.6837
3 21 42.5838
3 22 109.1625
3 23 118.4505
3 24 165.1187
3 25 77.7455
3 26 44.2344
3 27 196.3291
3 28 172.5854
3 29 26.8075
3 30 37.1867
3 31 138.8121
3 32 199.9233
3 33 13.6723
3 34 186.2508
3 35 112.7771
3 36 165.7446
3 37 45.9785
3 38 76.7678
3 39 79.5998
3 40 20.1475
3 41 199.1051
3 42 165.7126
3 43 20.1675
3 44 41.3949
3 45 155.7411
3 46 118.7255
3 47 170.7562
3 48 29.942
3 49 35.8308
4 5 192.7302
4 6 73.5047
4 7 175.728
4 8 42.5763
4 9 37.7505
4 10 134.111
4 11 23.4756
4 12 195.5273
4 13 19.6362
4 14 183.0853
4 15 44.4132
4 16 12.7234
4 17 173.1392
4 18 85.8129
4 19 28.1166
4 20 149.0273
4 21 51.3684
4 22 35.5812
4 23 55.8109
4 24 100.4394
4 25 154.3531
4 26 15.6518
4 27 34.3149
4 28 49.2217
4 29 158.2272
4 30 163.9473
4 31 193.4304
4 32 149.0395
4 33 181.0957
4 34 112.6981
4 35 8.0053
4 36 155.3185
4 37 193.5373
4 38 54.0712
4 39 34.8559
4 40 74.2064
4 41 120.613
4 42 84.0764
4 43 28.997
4 44 35.8963
4 45 115.4679
4 46 197.0475
4 47 33.3101
4 48 37.8642
4 49 28.5179
5 6 122.133
5 7 62.5747
5 8 78.0265
5 9 127.6453
5 10 131.6185
5 11 12.9403
5 12 127.8802
5 13 152.6339
5 14 123.4327
5 15 76.5663
5 16 146.4924
5 17 24.0506
5 18 111.4186
5 19 132.1139
5 20 115.3804
5 21 136.0629
5 22 109.273
5 23 153.4741
5 24 179.0489
5 25 197.5123
5 26 49.5293
5 27 72.4489
5 28 139.9689
5 29 59.7347
5 30 83.5152
5 31 55.2989
5 32 3.8199
5 33 47.5925
5 34 55.9421
5 35 3.5457
5 36 73.5068
5 37 186.8546
5 38 96.8334
5 39 182.4971
5 40 145.3258
5 41 127.2313
5 42 98.4311
5 43 80.7308
5 44 9.1768
5 45 59.5527
5 46 146.0208
5 47 89.1169
5 48 24.4639
5 49 63.1435
6 7 88.8239
6 8 81.2161
6 9 21.824
6 10 112.9527
6 11 124.711
6 12 21.2802
6 13 191.784
6 14 119.0932
6 15 57.3503
6 16 108.3721
6 17 169.7673
6 18 153.1916
6 19 120.9365
6 20 141.809
