NODES	PS	MI	MIWI	MT	SIN	PUOC	PM	PFLS	MIFLS	AVGHD	UFO	ULR	TS
5	3	10	9	/	2	1	0.1	0.1	1	1	0	1	0
10	5	100	50	/	2	0.8	0.2	0.7	8	3	0	1	0
15	6	150	100	/	3	0.8	0.2	0.7	9	3	0	1	0
25	10	500	250	/	6	0.7	0.2	0.3	46	5	0	1	0
50	22	1000	650	/	13	0.65	0.22	0.4	60	8	1	0	4
75	25	1300	900	/	15	0.7	0.22	0.33	70	9	1	0	8
100	40	2000	1200	/	25	0.7	0.2	0.3	80	10	1	0	11
250	50	3000	1800	/	28	0.6	0.2	0.3	140	18	0	0	12
300	45	2800	1300	/	22	0.5	0.25	0.32	250	30	0	0	10
500	54	3200	1400	/	27	0.5	0.25	0.31	300	40	0	0	11
1000	70	4000	2000	/	35	0.5	0.25	0.3	400	50	0	0	13
