NODES	PS	MI	MIWI	MT	SIN	PUOC	PM	PFLS	MIFLS	AVGHD	UFO	ULR	TS
5	3	10	9	/	2	1	0.1	0.1	1	1	0	1	0
10	4	65	25	/	2	0.8	0.2	0.8	7	3	0	1	0
15	4	65	25	/	2	0.8	0.2	0.8	7	3	0	1	0
25	10	400	230	/	6	0.6	0.2	0.3	46	5	0	1	0
50	20	500	200	/	12	0.6	0.3	0.6	30	8	1	0	4
75	23	700	280	/	14	0.7	0.33	0.33	45	9	1	0	8
100	30	1400	650	/	20	0.75	0.2	0.3	60	10	1	0	10
250	35	2300	1100	/	14	0.6	0.2	0.3	160	18	0	0	7
300	45	2800	1300	/	22	0.5	0.25	0.32	250	30	0	0	10
500	54	3200	1400	/	27	0.5	0.25	0.31	300	40	0	0	11
1000	70	4000	2000	/	35	0.5	0.25	0.3	400	50	0	0	13
